Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
DELAYED_0001,CUS0014,ITE0013,2,2,SCE005,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:25:00,24,0
DELAYED_0001,CUS0014,ITE0013,2,2,SCE005,2,PR0003,2025-07-15 08:10:00,2025-07-15 08:20:00,2,PR0003,2025-07-15 08:25:00,2025-07-15 08:50:00,24,0
DELAYED_0001,CUS0014,ITE0013,2,2,SCE005,3,PR0004,2025-07-15 08:20:00,2025-07-15 08:30:00,3,PR0004,2025-07-15 08:50:00,2025-07-15 09:15:00,24,0
DELAYED_0001,CUS0014,ITE0013,2,2,SCE005,4,PR0014,2025-07-15 08:30:00,2025-07-15 08:40:00,4,PR0014,2025-07-15 09:15:00,2025-07-15 09:40:00,24,0
DELAYED_0001,CUS0014,ITE0013,2,2,SCE005,5,PR0012,2025-07-15 08:40:00,2025-07-15 08:50:00,5,PR0012,2025-07-15 09:40:00,2025-07-15 10:05:00,24,0
DELAYED_0001,CUS0014,ITE0013,2,2,SCE005,6,PR0006,2025-07-15 08:50:00,2025-07-15 09:00:00,6,PR0006,2025-07-15 10:05:00,2025-07-15 10:30:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:19:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,2,PR0002,2025-07-16 08:19:00,2025-07-16 08:38:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,3,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,3,PR0003,2025-07-16 08:38:00,2025-07-16 08:57:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,4,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,4,PR0004,2025-07-16 08:57:00,2025-07-16 09:16:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,5,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,5,PR0005,2025-07-16 09:16:00,2025-07-16 09:35:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,6,PR0014,2025-07-16 08:50:00,2025-07-16 09:00:00,6,PR0014,2025-07-16 09:35:00,2025-07-16 09:54:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,7,PR0006,2025-07-16 09:00:00,2025-07-16 09:10:00,7,PR0006,2025-07-16 09:54:00,2025-07-16 10:13:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,8,PR0007,2025-07-16 09:10:00,2025-07-16 09:20:00,8,PR0007,2025-07-16 10:13:00,2025-07-16 10:32:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,9,PR0008,2025-07-16 09:20:00,2025-07-16 09:30:00,9,PR0008,2025-07-16 10:32:00,2025-07-16 10:51:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,10,PR0013,2025-07-16 09:30:00,2025-07-16 09:40:00,10,PR0013,2025-07-16 10:51:00,2025-07-16 11:10:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,11,PR0009,2025-07-16 09:40:00,2025-07-16 09:50:00,11,PR0009,2025-07-16 11:10:00,2025-07-16 11:29:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,12,PR0010,2025-07-16 09:50:00,2025-07-16 10:00:00,12,PR0010,2025-07-16 11:29:00,2025-07-16 11:48:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,13,PR0011,2025-07-16 10:00:00,2025-07-16 10:10:00,13,PR0011,2025-07-16 11:48:00,2025-07-16 12:07:00,24,0
DELAYED_0002,CUS0016,ITE0034,2,2,SCE004,14,PR0012,2025-07-16 10:10:00,2025-07-16 10:20:00,14,PR0012,2025-07-16 12:07:00,2025-07-16 12:26:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:16:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,2,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,2,PR0002,2025-07-17 08:16:00,2025-07-17 08:32:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,3,PR0003,2025-07-17 08:20:00,2025-07-17 08:30:00,3,PR0003,2025-07-17 08:32:00,2025-07-17 08:48:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,4,PR0004,2025-07-17 08:30:00,2025-07-17 08:40:00,4,PR0004,2025-07-17 08:48:00,2025-07-17 09:04:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,5,PR0005,2025-07-17 08:40:00,2025-07-17 08:50:00,5,PR0005,2025-07-17 09:04:00,2025-07-17 09:20:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,6,PR0014,2025-07-17 08:50:00,2025-07-17 09:00:00,6,PR0014,2025-07-17 09:20:00,2025-07-17 09:36:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,7,PR0006,2025-07-17 09:00:00,2025-07-17 09:10:00,7,PR0006,2025-07-17 09:36:00,2025-07-17 09:52:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,8,PR0007,2025-07-17 09:10:00,2025-07-17 09:20:00,8,PR0007,2025-07-17 09:52:00,2025-07-17 10:08:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,9,PR0008,2025-07-17 09:20:00,2025-07-17 09:30:00,9,PR0008,2025-07-17 10:08:00,2025-07-17 10:24:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,10,PR0013,2025-07-17 09:30:00,2025-07-17 09:40:00,10,PR0013,2025-07-17 10:24:00,2025-07-17 10:40:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,11,PR0009,2025-07-17 09:40:00,2025-07-17 09:50:00,11,PR0009,2025-07-17 10:40:00,2025-07-17 10:56:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,12,PR0010,2025-07-17 09:50:00,2025-07-17 10:00:00,12,PR0010,2025-07-17 10:56:00,2025-07-17 11:12:00,24,0
DELAYED_0003,CUS0012,ITE0011,2,2,SCE004,13,PR0011,2025-07-17 10:00:00,2025-07-17 10:10:00,13,PR0011,2025-07-17 11:12:00,2025-07-17 11:28:00,24,0
