Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
ORD0001,CUS0005,ITE0044,2,2,SCE002,1,PR0010,2025-07-15 08:00:00,2025-07-15 08:15:00,2,PR0010,2025-07-15 08:15:00,2025-07-15 08:30:00,82,20
ORD0001,CUS0005,ITE0044,2,2,SCE002,2,PR0011,2025-07-15 08:15:00,2025-07-15 08:30:00,3,PR0011,2025-07-15 08:30:00,2025-07-15 08:45:00,82,20
ORD0001,CUS0005,ITE0044,2,2,SCE002,3,PR0012,2025-07-15 08:30:00,2025-07-15 08:45:00,1,PR0012,2025-07-15 08:00:00,2025-07-15 08:15:00,82,20
ORD0001,CUS0005,ITE0044,2,2,SCE002,4,PR0013,2025-07-15 08:45:00,2025-07-15 09:00:00,5,PR0013,2025-07-15 09:00:00,2025-07-15 09:15:00,82,20
ORD0001,CUS0005,ITE0044,2,2,SCE002,5,PR0014,2025-07-15 09:00:00,2025-07-15 09:15:00,6,PR0014,2025-07-15 09:15:00,2025-07-15 09:30:00,82,20
ORD0002,CUS0013,ITE0036,1,1,SCE001,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,142,13
ORD0002,CUS0013,ITE0036,1,1,SCE001,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,142,13
ORD0002,CUS0013,ITE0036,1,1,SCE001,3,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,4,PR0003,2025-07-16 08:30:00,2025-07-16 08:40:00,142,13
ORD0002,CUS0013,ITE0036,1,1,SCE001,4,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,5,PR0004,2025-07-16 08:40:00,2025-07-16 08:50:00,142,13
ORD0002,CUS0013,ITE0036,1,1,SCE001,5,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,6,PR0005,2025-07-16 08:50:00,2025-07-16 09:00:00,142,13
ORD0003,CUS0001,ITE0042,1,1,SCE001,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,93,18
ORD0003,CUS0001,ITE0042,1,1,SCE001,2,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,2,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,93,18
ORD0003,CUS0001,ITE0042,1,1,SCE001,3,PR0003,2025-07-17 08:20:00,2025-07-17 08:30:00,4,PR0003,2025-07-17 08:30:00,2025-07-17 08:40:00,93,18
ORD0003,CUS0001,ITE0042,1,1,SCE001,4,PR0004,2025-07-17 08:30:00,2025-07-17 08:40:00,5,PR0004,2025-07-17 08:40:00,2025-07-17 08:50:00,93,18
ORD0003,CUS0001,ITE0042,1,1,SCE001,5,PR0005,2025-07-17 08:40:00,2025-07-17 08:50:00,6,PR0005,2025-07-17 08:50:00,2025-07-17 09:00:00,93,18
ORD0004,CUS0002,ITE0030,2,2,SCE002,1,PR0010,2025-07-18 08:00:00,2025-07-18 08:15:00,1,PR0010,2025-07-18 08:00:00,2025-07-18 08:15:00,110,13
ORD0004,CUS0002,ITE0030,2,2,SCE002,2,PR0011,2025-07-18 08:15:00,2025-07-18 08:30:00,2,PR0011,2025-07-18 08:15:00,2025-07-18 08:30:00,110,13
ORD0004,CUS0002,ITE0030,2,2,SCE002,3,PR0012,2025-07-18 08:30:00,2025-07-18 08:45:00,3,PR0012,2025-07-18 08:30:00,2025-07-18 08:45:00,110,13
ORD0004,CUS0002,ITE0030,2,2,SCE002,4,PR0013,2025-07-18 08:45:00,2025-07-18 09:00:00,4,PR0013,2025-07-18 08:45:00,2025-07-18 09:00:00,110,13
ORD0004,CUS0002,ITE0030,2,2,SCE002,5,PR0014,2025-07-18 09:00:00,2025-07-18 09:15:00,5,PR0014,2025-07-18 09:00:00,2025-07-18 09:15:00,110,13
ORD0005,CUS0003,ITE0011,2,2,SCE002,1,PR0010,2025-07-19 08:00:00,2025-07-19 08:15:00,2,PR0010,2025-07-19 08:15:00,2025-07-19 08:30:00,113,7
