Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
ORD0001,CUS0016,ITE0010,1,1,SCE001,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,135,10
ORD0001,CUS0016,ITE0010,1,1,SCE001,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,5,PR0002,2025-07-15 08:40:00,2025-07-15 08:50:00,135,10
ORD0001,CUS0016,ITE0010,1,1,SCE001,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,4,PR0003,2025-07-15 08:30:00,2025-07-15 08:40:00,135,10
ORD0001,CUS0016,ITE0010,1,1,SCE001,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,2,PR0004,2025-07-15 08:10:00,2025-07-15 08:20:00,135,10
ORD0001,CUS0016,ITE0010,1,1,SCE001,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,3,PR0005,2025-07-15 08:20:00,2025-07-15 08:30:00,135,10
ORD0002,CUS0019,ITE0049,1,1,SCE001,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,2,PR0001,2025-07-16 08:10:00,2025-07-16 08:20:00,108,2
ORD0002,CUS0019,ITE0049,1,1,SCE001,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,3,PR0002,2025-07-16 08:20:00,2025-07-16 08:30:00,108,2
ORD0002,CUS0019,ITE0049,1,1,SCE001,3,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,5,PR0003,2025-07-16 08:40:00,2025-07-16 08:50:00,108,2
ORD0002,CUS0019,ITE0049,1,1,SCE001,4,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,1,PR0004,2025-07-16 08:00:00,2025-07-16 08:10:00,108,2
ORD0002,CUS0019,ITE0049,1,1,SCE001,5,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,4,PR0005,2025-07-16 08:30:00,2025-07-16 08:40:00,108,2
ORD0003,CUS0020,ITE0013,2,2,SCE002,1,PR0010,2025-07-17 08:00:00,2025-07-17 08:15:00,4,PR0010,2025-07-17 08:45:00,2025-07-17 09:00:00,84,1
ORD0003,CUS0020,ITE0013,2,2,SCE002,2,PR0011,2025-07-17 08:15:00,2025-07-17 08:30:00,1,PR0011,2025-07-17 08:00:00,2025-07-17 08:15:00,84,1
ORD0003,CUS0020,ITE0013,2,2,SCE002,3,PR0012,2025-07-17 08:30:00,2025-07-17 08:45:00,5,PR0012,2025-07-17 09:00:00,2025-07-17 09:15:00,84,1
ORD0003,CUS0020,ITE0013,2,2,SCE002,4,PR0013,2025-07-17 08:45:00,2025-07-17 09:00:00,3,PR0013,2025-07-17 08:30:00,2025-07-17 08:45:00,84,1
ORD0003,CUS0020,ITE0013,2,2,SCE002,5,PR0014,2025-07-17 09:00:00,2025-07-17 09:15:00,2,PR0014,2025-07-17 08:15:00,2025-07-17 08:30:00,84,1
ORD0004,CUS0004,ITE0009,2,2,SCE002,1,PR0010,2025-07-18 08:00:00,2025-07-18 08:15:00,3,PR0010,2025-07-18 08:30:00,2025-07-18 08:45:00,98,8
ORD0004,CUS0004,ITE0009,2,2,SCE002,2,PR0011,2025-07-18 08:15:00,2025-07-18 08:30:00,2,PR0011,2025-07-18 08:15:00,2025-07-18 08:30:00,98,8
ORD0004,CUS0004,ITE0009,2,2,SCE002,3,PR0012,2025-07-18 08:30:00,2025-07-18 08:45:00,5,PR0012,2025-07-18 09:00:00,2025-07-18 09:15:00,98,8
ORD0004,CUS0004,ITE0009,2,2,SCE002,4,PR0013,2025-07-18 08:45:00,2025-07-18 09:00:00,1,PR0013,2025-07-18 08:00:00,2025-07-18 08:15:00,98,8
ORD0004,CUS0004,ITE0009,2,2,SCE002,5,PR0014,2025-07-18 09:00:00,2025-07-18 09:15:00,4,PR0014,2025-07-18 08:45:00,2025-07-18 09:00:00,98,8
ORD0005,CUS0013,ITE0004,2,2,SCE002,1,PR0010,2025-07-19 08:00:00,2025-07-19 08:15:00,4,PR0010,2025-07-19 08:45:00,2025-07-19 09:00:00,108,18
ORD0005,CUS0013,ITE0004,2,2,SCE002,2,PR0011,2025-07-19 08:15:00,2025-07-19 08:30:00,1,PR0011,2025-07-19 08:00:00,2025-07-19 08:15:00,108,18
ORD0005,CUS0013,ITE0004,2,2,SCE002,3,PR0012,2025-07-19 08:30:00,2025-07-19 08:45:00,5,PR0012,2025-07-19 09:00:00,2025-07-19 09:15:00,108,18
ORD0005,CUS0013,ITE0004,2,2,SCE002,4,PR0013,2025-07-19 08:45:00,2025-07-19 09:00:00,3,PR0013,2025-07-19 08:30:00,2025-07-19 08:45:00,108,18
ORD0005,CUS0013,ITE0004,2,2,SCE002,5,PR0014,2025-07-19 09:00:00,2025-07-19 09:15:00,2,PR0014,2025-07-19 08:15:00,2025-07-19 08:30:00,108,18
ORD0006,CUS0007,ITE0028,2,2,SCE002,1,PR0010,2025-07-20 08:00:00,2025-07-20 08:15:00,4,PR0010,2025-07-20 08:45:00,2025-07-20 09:00:00,99,13
ORD0006,CUS0007,ITE0028,2,2,SCE002,2,PR0011,2025-07-20 08:15:00,2025-07-20 08:30:00,5,PR0011,2025-07-20 09:00:00,2025-07-20 09:15:00,99,13
ORD0006,CUS0007,ITE0028,2,2,SCE002,3,PR0012,2025-07-20 08:30:00,2025-07-20 08:45:00,3,PR0012,2025-07-20 08:30:00,2025-07-20 08:45:00,99,13
ORD0006,CUS0007,ITE0028,2,2,SCE002,4,PR0013,2025-07-20 08:45:00,2025-07-20 09:00:00,1,PR0013,2025-07-20 08:00:00,2025-07-20 08:15:00,99,13
ORD0006,CUS0007,ITE0028,2,2,SCE002,5,PR0014,2025-07-20 09:00:00,2025-07-20 09:15:00,2,PR0014,2025-07-20 08:15:00,2025-07-20 08:30:00,99,13
ORD0007,CUS0016,ITE0031,1,1,SCE001,1,PR0001,2025-07-21 08:00:00,2025-07-21 08:10:00,4,PR0001,2025-07-21 08:30:00,2025-07-21 08:40:00,105,16
ORD0007,CUS0016,ITE0031,1,1,SCE001,2,PR0002,2025-07-21 08:10:00,2025-07-21 08:20:00,2,PR0002,2025-07-21 08:10:00,2025-07-21 08:20:00,105,16
ORD0007,CUS0016,ITE0031,1,1,SCE001,3,PR0003,2025-07-21 08:20:00,2025-07-21 08:30:00,1,PR0003,2025-07-21 08:00:00,2025-07-21 08:10:00,105,16
