Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,1.0,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,2.0,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,3.0,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,4.0,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,5.0,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,6,PR0006,2025-07-15 08:50:00,2025-07-15 09:00:00,6.0,PR0006,2025-07-15 08:50:00,2025-07-15 09:00:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,7,PR0007,2025-07-15 09:00:00,2025-07-15 09:10:00,7.0,PR0007,2025-07-15 09:00:00,2025-07-15 09:10:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,8,PR0008,2025-07-15 09:10:00,2025-07-15 09:20:00,8.0,PR0008,2025-07-15 09:10:00,2025-07-15 09:20:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,9,PR0009,2025-07-15 09:20:00,2025-07-15 09:30:00,9.0,PR0009,2025-07-15 09:20:00,2025-07-15 09:30:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,10,PR0010,2025-07-15 09:30:00,2025-07-15 09:40:00,10.0,PR0010,2025-07-15 09:30:00,2025-07-15 09:40:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,11,PR0011,2025-07-15 09:40:00,2025-07-15 09:50:00,11.0,PR0011,2025-07-15 09:40:00,2025-07-15 09:50:00,24,0
NEAT_0001,CUS0012,ITE0021,1,1,SCE001,12,PR0012,2025-07-15 09:50:00,2025-07-15 10:00:00,12.0,PR0012,2025-07-15 09:50:00,2025-07-15 10:00:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,1.0,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,2.0,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,3,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,3.0,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,4,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,4.0,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,5,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,5.0,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,6,PR0006,2025-07-16 08:50:00,2025-07-16 09:00:00,6.0,PR0006,2025-07-16 08:50:00,2025-07-16 09:00:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,7,PR0007,2025-07-16 09:00:00,2025-07-16 09:10:00,7.0,PR0007,2025-07-16 09:00:00,2025-07-16 09:10:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,8,PR0008,2025-07-16 09:10:00,2025-07-16 09:20:00,8.0,PR0008,2025-07-16 09:10:00,2025-07-16 09:20:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,9,PR0009,2025-07-16 09:20:00,2025-07-16 09:30:00,9.0,PR0009,2025-07-16 09:20:00,2025-07-16 09:30:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,10,PR0010,2025-07-16 09:30:00,2025-07-16 09:40:00,10.0,PR0010,2025-07-16 09:30:00,2025-07-16 09:40:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,11,PR0011,2025-07-16 09:40:00,2025-07-16 09:50:00,11.0,PR0011,2025-07-16 09:40:00,2025-07-16 09:50:00,24,0
NEAT_0002,CUS0003,ITE0007,1,1,SCE001,12,PR0012,2025-07-16 09:50:00,2025-07-16 10:00:00,12.0,PR0012,2025-07-16 09:50:00,2025-07-16 10:00:00,24,0
NEAT_0003,CUS0011,ITE0038,2,2,SCE005,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,1.0,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,24,0
