Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
ORD0001,CUS0019,ITE0018,2,2,SCE002,1,PR0010,2025-07-15 08:00:00,2025-07-15 08:15:00,,,,,98,17
ORD0001,CUS0019,ITE0018,2,2,SCE002,2,PR0011,2025-07-15 08:15:00,2025-07-15 08:30:00,1.0,PR0011,2025-07-15 08:00:00,2025-07-15 08:15:00,98,17
ORD0001,CUS0019,ITE0018,2,2,SCE002,3,PR0012,2025-07-15 08:30:00,2025-07-15 08:45:00,2.0,PR0012,2025-07-15 08:15:00,2025-07-15 08:30:00,98,17
ORD0001,CUS0019,ITE0018,2,2,SCE002,4,PR0013,2025-07-15 08:45:00,2025-07-15 09:00:00,3.0,PR0013,2025-07-15 08:30:00,2025-07-15 08:45:00,98,17
ORD0001,CUS0019,ITE0018,2,2,SCE002,5,PR0014,2025-07-15 09:00:00,2025-07-15 09:15:00,4.0,PR0014,2025-07-15 08:45:00,2025-07-15 09:00:00,98,17
ORD0002,CUS0018,ITE0027,1,1,SCE001,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,,,,,147,4
ORD0002,CUS0018,ITE0027,1,1,SCE001,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,1.0,PR0002,2025-07-16 08:00:00,2025-07-16 08:10:00,147,4
ORD0002,CUS0018,ITE0027,1,1,SCE001,3,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,2.0,PR0003,2025-07-16 08:10:00,2025-07-16 08:20:00,147,4
ORD0002,CUS0018,ITE0027,1,1,SCE001,4,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,3.0,PR0004,2025-07-16 08:20:00,2025-07-16 08:30:00,147,4
ORD0002,CUS0018,ITE0027,1,1,SCE001,5,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,4.0,PR0005,2025-07-16 08:30:00,2025-07-16 08:40:00,147,4
ORD0003,CUS0010,ITE0042,2,2,SCE002,1,PR0010,2025-07-17 08:00:00,2025-07-17 08:15:00,1.0,PR0010,2025-07-17 08:00:00,2025-07-17 08:15:00,97,20
ORD0003,CUS0010,ITE0042,2,2,SCE002,2,PR0011,2025-07-17 08:15:00,2025-07-17 08:30:00,2.0,PR0011,2025-07-17 08:15:00,2025-07-17 08:30:00,97,20
ORD0003,CUS0010,ITE0042,2,2,SCE002,3,PR0012,2025-07-17 08:30:00,2025-07-17 08:45:00,3.0,PR0012,2025-07-17 08:30:00,2025-07-17 08:45:00,97,20
ORD0003,CUS0010,ITE0042,2,2,SCE002,4,PR0013,2025-07-17 08:45:00,2025-07-17 09:00:00,4.0,PR0013,2025-07-17 08:45:00,2025-07-17 09:00:00,97,20
ORD0003,CUS0010,ITE0042,2,2,SCE002,5,PR0014,2025-07-17 09:00:00,2025-07-17 09:15:00,,,,,97,20
ORD0004,CUS0008,ITE0009,1,1,SCE001,1,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,,,,,141,20
ORD0004,CUS0008,ITE0009,1,1,SCE001,2,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,1.0,PR0002,2025-07-18 08:00:00,2025-07-18 08:10:00,141,20
ORD0004,CUS0008,ITE0009,1,1,SCE001,3,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,2.0,PR0003,2025-07-18 08:10:00,2025-07-18 08:20:00,141,20
ORD0004,CUS0008,ITE0009,1,1,SCE001,4,PR0004,2025-07-18 08:30:00,2025-07-18 08:40:00,3.0,PR0004,2025-07-18 08:20:00,2025-07-18 08:30:00,141,20
ORD0004,CUS0008,ITE0009,1,1,SCE001,5,PR0005,2025-07-18 08:40:00,2025-07-18 08:50:00,4.0,PR0005,2025-07-18 08:30:00,2025-07-18 08:40:00,141,20
ORD0005,CUS0010,ITE0046,1,1,SCE001,1,PR0001,2025-07-19 08:00:00,2025-07-19 08:10:00,,,,,102,20
ORD0005,CUS0010,ITE0046,1,1,SCE001,2,PR0002,2025-07-19 08:10:00,2025-07-19 08:20:00,1.0,PR0002,2025-07-19 08:00:00,2025-07-19 08:10:00,102,20
ORD0005,CUS0010,ITE0046,1,1,SCE001,3,PR0003,2025-07-19 08:20:00,2025-07-19 08:30:00,2.0,PR0003,2025-07-19 08:10:00,2025-07-19 08:20:00,102,20
ORD0005,CUS0010,ITE0046,1,1,SCE001,4,PR0004,2025-07-19 08:30:00,2025-07-19 08:40:00,3.0,PR0004,2025-07-19 08:20:00,2025-07-19 08:30:00,102,20
ORD0005,CUS0010,ITE0046,1,1,SCE001,5,PR0005,2025-07-19 08:40:00,2025-07-19 08:50:00,4.0,PR0005,2025-07-19 08:30:00,2025-07-19 08:40:00,102,20
ORD0006,CUS0010,ITE0026,1,1,SCE001,1,PR0001,2025-07-20 08:00:00,2025-07-20 08:10:00,,,,,126,12
ORD0006,CUS0010,ITE0026,1,1,SCE001,2,PR0002,2025-07-20 08:10:00,2025-07-20 08:20:00,1.0,PR0002,2025-07-20 08:00:00,2025-07-20 08:10:00,126,12
ORD0006,CUS0010,ITE0026,1,1,SCE001,3,PR0003,2025-07-20 08:20:00,2025-07-20 08:30:00,2.0,PR0003,2025-07-20 08:10:00,2025-07-20 08:20:00,126,12
ORD0006,CUS0010,ITE0026,1,1,SCE001,4,PR0004,2025-07-20 08:30:00,2025-07-20 08:40:00,3.0,PR0004,2025-07-20 08:20:00,2025-07-20 08:30:00,126,12
ORD0006,CUS0010,ITE0026,1,1,SCE001,5,PR0005,2025-07-20 08:40:00,2025-07-20 08:50:00,4.0,PR0005,2025-07-20 08:30:00,2025-07-20 08:40:00,126,12
ORD0007,CUS0016,ITE0021,1,1,SCE001,1,PR0001,2025-07-21 08:00:00,2025-07-21 08:10:00,,,,,93,14
ORD0007,CUS0016,ITE0021,1,1,SCE001,2,PR0002,2025-07-21 08:10:00,2025-07-21 08:20:00,1.0,PR0002,2025-07-21 08:00:00,2025-07-21 08:10:00,93,14
ORD0007,CUS0016,ITE0021,1,1,SCE001,3,PR0003,2025-07-21 08:20:00,2025-07-21 08:30:00,2.0,PR0003,2025-07-21 08:10:00,2025-07-21 08:20:00,93,14
ORD0007,CUS0016,ITE0021,1,1,SCE001,4,PR0004,2025-07-21 08:30:00,2025-07-21 08:40:00,3.0,PR0004,2025-07-21 08:20:00,2025-07-21 08:30:00,93,14
ORD0007,CUS0016,ITE0021,1,1,SCE001,5,PR0005,2025-07-21 08:40:00,2025-07-21 08:50:00,4.0,PR0005,2025-07-21 08:30:00,2025-07-21 08:40:00,93,14
ORD0008,CUS0016,ITE0050,1,1,SCE001,1,PR0001,2025-07-22 08:00:00,2025-07-22 08:10:00,1.0,PR0001,2025-07-22 08:00:00,2025-07-22 08:10:00,140,5
ORD0008,CUS0016,ITE0050,1,1,SCE001,2,PR0002,2025-07-22 08:10:00,2025-07-22 08:20:00,2.0,PR0002,2025-07-22 08:10:00,2025-07-22 08:20:00,140,5
ORD0008,CUS0016,ITE0050,1,1,SCE001,3,PR0003,2025-07-22 08:20:00,2025-07-22 08:30:00,3.0,PR0003,2025-07-22 08:20:00,2025-07-22 08:30:00,140,5
ORD0008,CUS0016,ITE0050,1,1,SCE001,4,PR0004,2025-07-22 08:30:00,2025-07-22 08:40:00,4.0,PR0004,2025-07-22 08:30:00,2025-07-22 08:40:00,140,5
ORD0008,CUS0016,ITE0050,1,1,SCE001,5,PR0005,2025-07-22 08:40:00,2025-07-22 08:50:00,,,,,140,5
ORD0009,CUS0007,ITE0031,2,2,SCE002,1,PR0010,2025-07-23 08:00:00,2025-07-23 08:15:00,,,,,126,14
ORD0009,CUS0007,ITE0031,2,2,SCE002,2,PR0011,2025-07-23 08:15:00,2025-07-23 08:30:00,1.0,PR0011,2025-07-23 08:00:00,2025-07-23 08:15:00,126,14
ORD0009,CUS0007,ITE0031,2,2,SCE002,3,PR0012,2025-07-23 08:30:00,2025-07-23 08:45:00,2.0,PR0012,2025-07-23 08:15:00,2025-07-23 08:30:00,126,14
ORD0009,CUS0007,ITE0031,2,2,SCE002,4,PR0013,2025-07-23 08:45:00,2025-07-23 09:00:00,3.0,PR0013,2025-07-23 08:30:00,2025-07-23 08:45:00,126,14
ORD0009,CUS0007,ITE0031,2,2,SCE002,5,PR0014,2025-07-23 09:00:00,2025-07-23 09:15:00,4.0,PR0014,2025-07-23 08:45:00,2025-07-23 09:00:00,126,14
ORD0010,CUS0001,ITE0010,1,1,SCE001,1,PR0001,2025-07-24 08:00:00,2025-07-24 08:10:00,1.0,PR0001,2025-07-24 08:00:00,2025-07-24 08:10:00,121,4
ORD0010,CUS0001,ITE0010,1,1,SCE001,2,PR0002,2025-07-24 08:10:00,2025-07-24 08:20:00,2.0,PR0002,2025-07-24 08:10:00,2025-07-24 08:20:00,121,4
ORD0010,CUS0001,ITE0010,1,1,SCE001,3,PR0003,2025-07-24 08:20:00,2025-07-24 08:30:00,3.0,PR0003,2025-07-24 08:20:00,2025-07-24 08:30:00,121,4
ORD0010,CUS0001,ITE0010,1,1,SCE001,4,PR0004,2025-07-24 08:30:00,2025-07-24 08:40:00,4.0,PR0004,2025-07-24 08:30:00,2025-07-24 08:40:00,121,4
ORD0010,CUS0001,ITE0010,1,1,SCE001,5,PR0005,2025-07-24 08:40:00,2025-07-24 08:50:00,,,,,121,4
ORD0011,CUS0020,ITE0013,2,2,SCE002,1,PR0010,2025-07-25 08:00:00,2025-07-25 08:15:00,1.0,PR0010,2025-07-25 08:00:00,2025-07-25 08:15:00,113,7
ORD0011,CUS0020,ITE0013,2,2,SCE002,2,PR0011,2025-07-25 08:15:00,2025-07-25 08:30:00,2.0,PR0011,2025-07-25 08:15:00,2025-07-25 08:30:00,113,7
ORD0011,CUS0020,ITE0013,2,2,SCE002,3,PR0012,2025-07-25 08:30:00,2025-07-25 08:45:00,3.0,PR0012,2025-07-25 08:30:00,2025-07-25 08:45:00,113,7
ORD0011,CUS0020,ITE0013,2,2,SCE002,4,PR0013,2025-07-25 08:45:00,2025-07-25 09:00:00,4.0,PR0013,2025-07-25 08:45:00,2025-07-25 09:00:00,113,7
ORD0011,CUS0020,ITE0013,2,2,SCE002,5,PR0014,2025-07-25 09:00:00,2025-07-25 09:15:00,,,,,113,7
ORD0012,CUS0016,ITE0010,1,1,SCE001,1,PR0001,2025-07-26 08:00:00,2025-07-26 08:10:00,,,,,124,5
ORD0012,CUS0016,ITE0010,1,1,SCE001,2,PR0002,2025-07-26 08:10:00,2025-07-26 08:20:00,1.0,PR0002,2025-07-26 08:00:00,2025-07-26 08:10:00,124,5
ORD0012,CUS0016,ITE0010,1,1,SCE001,3,PR0003,2025-07-26 08:20:00,2025-07-26 08:30:00,2.0,PR0003,2025-07-26 08:10:00,2025-07-26 08:20:00,124,5
ORD0012,CUS0016,ITE0010,1,1,SCE001,4,PR0004,2025-07-26 08:30:00,2025-07-26 08:40:00,3.0,PR0004,2025-07-26 08:20:00,2025-07-26 08:30:00,124,5
ORD0012,CUS0016,ITE0010,1,1,SCE001,5,PR0005,2025-07-26 08:40:00,2025-07-26 08:50:00,4.0,PR0005,2025-07-26 08:30:00,2025-07-26 08:40:00,124,5
ORD0013,CUS0001,ITE0008,2,2,SCE002,1,PR0010,2025-07-27 08:00:00,2025-07-27 08:15:00,1.0,PR0010,2025-07-27 08:00:00,2025-07-27 08:15:00,141,10
ORD0013,CUS0001,ITE0008,2,2,SCE002,2,PR0011,2025-07-27 08:15:00,2025-07-27 08:30:00,2.0,PR0011,2025-07-27 08:15:00,2025-07-27 08:30:00,141,10
ORD0013,CUS0001,ITE0008,2,2,SCE002,3,PR0012,2025-07-27 08:30:00,2025-07-27 08:45:00,3.0,PR0012,2025-07-27 08:30:00,2025-07-27 08:45:00,141,10
ORD0013,CUS0001,ITE0008,2,2,SCE002,4,PR0013,2025-07-27 08:45:00,2025-07-27 09:00:00,4.0,PR0013,2025-07-27 08:45:00,2025-07-27 09:00:00,141,10
ORD0013,CUS0001,ITE0008,2,2,SCE002,5,PR0014,2025-07-27 09:00:00,2025-07-27 09:15:00,,,,,141,10
ORD0014,CUS0004,ITE0043,1,1,SCE001,1,PR0001,2025-07-28 08:00:00,2025-07-28 08:10:00,1.0,PR0001,2025-07-28 08:00:00,2025-07-28 08:10:00,121,15
ORD0014,CUS0004,ITE0043,1,1,SCE001,2,PR0002,2025-07-28 08:10:00,2025-07-28 08:20:00,2.0,PR0002,2025-07-28 08:10:00,2025-07-28 08:20:00,121,15
