Order ID,Customer ID,Item ID,Export Flag,Dangerous Flag,Derived Scenario,Scenario Used,Planned Steps,As Is Steps
ORD0001,CUS0013,ITE0002,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0002,CUS0006,ITE0018,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0003,CUS0006,ITE0033,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0004,CUS0011,ITE0016,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0005,CUS0020,ITE0047,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0006,CUS0020,ITE0007,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0007,CUS0007,ITE0018,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0008,CUS0013,ITE0022,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0009,CUS0005,ITE0002,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0010,CUS0002,ITE0011,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
