Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity
ORD0001,CUS0005,ITE0035,2,2,SCE004,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,6,PR0014,2025-07-15 08:50:00,2025-07-15 09:00:00,6,PR0014,2025-07-15 08:50:00,2025-07-15 09:00:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,7,PR0006,2025-07-15 09:00:00,2025-07-15 09:10:00,7,PR0006,2025-07-15 09:00:00,2025-07-15 09:10:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,8,PR0007,2025-07-15 09:10:00,2025-07-15 09:20:00,14,PR0007,2025-07-15 10:10:00,2025-07-15 10:20:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,9,PR0008,2025-07-15 09:20:00,2025-07-15 09:30:00,9,PR0008,2025-07-15 09:20:00,2025-07-15 09:30:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,10,PR0013,2025-07-15 09:30:00,2025-07-15 09:40:00,10,PR0013,2025-07-15 09:30:00,2025-07-15 09:40:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,11,PR0009,2025-07-15 09:40:00,2025-07-15 09:50:00,11,PR0009,2025-07-15 09:40:00,2025-07-15 09:50:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,12,PR0010,2025-07-15 09:50:00,2025-07-15 10:00:00,12,PR0010,2025-07-15 09:50:00,2025-07-15 10:00:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,13,PR0011,2025-07-15 10:00:00,2025-07-15 10:10:00,13,PR0011,2025-07-15 10:00:00,2025-07-15 10:10:00,24,0
ORD0001,CUS0005,ITE0035,2,2,SCE004,14,PR0012,2025-07-15 10:10:00,2025-07-15 10:20:00,8,PR0012,2025-07-15 09:10:00,2025-07-15 09:20:00,24,0
ORD0002,CUS0010,ITE0027,2,2,SCE005,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,6,PR0001,2025-07-16 08:50:00,2025-07-16 09:00:00,24,0
ORD0002,CUS0010,ITE0027,2,2,SCE005,2,PR0003,2025-07-16 08:10:00,2025-07-16 08:20:00,2,PR0003,2025-07-16 08:10:00,2025-07-16 08:20:00,24,0
ORD0002,CUS0010,ITE0027,2,2,SCE005,3,PR0004,2025-07-16 08:20:00,2025-07-16 08:30:00,3,PR0004,2025-07-16 08:20:00,2025-07-16 08:30:00,24,0
ORD0002,CUS0010,ITE0027,2,2,SCE005,4,PR0014,2025-07-16 08:30:00,2025-07-16 08:40:00,4,PR0014,2025-07-16 08:30:00,2025-07-16 08:40:00,24,0
ORD0002,CUS0010,ITE0027,2,2,SCE005,5,PR0012,2025-07-16 08:40:00,2025-07-16 08:50:00,5,PR0012,2025-07-16 08:40:00,2025-07-16 08:50:00,24,0
ORD0002,CUS0010,ITE0027,2,2,SCE005,6,PR0006,2025-07-16 08:50:00,2025-07-16 09:00:00,1,PR0006,2025-07-16 08:00:00,2025-07-16 08:10:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,2,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,2,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,3,PR0003,2025-07-17 08:20:00,2025-07-17 08:30:00,3,PR0003,2025-07-17 08:20:00,2025-07-17 08:30:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,4,PR0004,2025-07-17 08:30:00,2025-07-17 08:40:00,5,PR0004,2025-07-17 08:40:00,2025-07-17 08:50:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,5,PR0005,2025-07-17 08:40:00,2025-07-17 08:50:00,4,PR0005,2025-07-17 08:30:00,2025-07-17 08:40:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,6,PR0014,2025-07-17 08:50:00,2025-07-17 09:00:00,6,PR0014,2025-07-17 08:50:00,2025-07-17 09:00:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,7,PR0006,2025-07-17 09:00:00,2025-07-17 09:10:00,7,PR0006,2025-07-17 09:00:00,2025-07-17 09:10:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,8,PR0007,2025-07-17 09:10:00,2025-07-17 09:20:00,8,PR0007,2025-07-17 09:10:00,2025-07-17 09:20:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,9,PR0008,2025-07-17 09:20:00,2025-07-17 09:30:00,9,PR0008,2025-07-17 09:20:00,2025-07-17 09:30:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,10,PR0009,2025-07-17 09:30:00,2025-07-17 09:40:00,10,PR0009,2025-07-17 09:30:00,2025-07-17 09:40:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,11,PR0010,2025-07-17 09:40:00,2025-07-17 09:50:00,11,PR0010,2025-07-17 09:40:00,2025-07-17 09:50:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,12,PR0011,2025-07-17 09:50:00,2025-07-17 10:00:00,12,PR0011,2025-07-17 09:50:00,2025-07-17 10:00:00,24,0
ORD0003,CUS0009,ITE0017,2,1,SCE003,13,PR0012,2025-07-17 10:00:00,2025-07-17 10:10:00,13,PR0012,2025-07-17 10:00:00,2025-07-17 10:10:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,1,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,1,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,2,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,2,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,3,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,3,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,4,PR0004,2025-07-18 08:30:00,2025-07-18 08:40:00,4,PR0004,2025-07-18 08:30:00,2025-07-18 08:40:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,5,PR0005,2025-07-18 08:40:00,2025-07-18 08:50:00,6,PR0005,2025-07-18 08:50:00,2025-07-18 09:00:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,6,PR0006,2025-07-18 08:50:00,2025-07-18 09:00:00,5,PR0006,2025-07-18 08:40:00,2025-07-18 08:50:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,7,PR0007,2025-07-18 09:00:00,2025-07-18 09:10:00,7,PR0007,2025-07-18 09:00:00,2025-07-18 09:10:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,8,PR0013,2025-07-18 09:10:00,2025-07-18 09:20:00,8,PR0013,2025-07-18 09:10:00,2025-07-18 09:20:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,9,PR0008,2025-07-18 09:20:00,2025-07-18 09:30:00,9,PR0008,2025-07-18 09:20:00,2025-07-18 09:30:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,10,PR0009,2025-07-18 09:30:00,2025-07-18 09:40:00,10,PR0009,2025-07-18 09:30:00,2025-07-18 09:40:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,11,PR0010,2025-07-18 09:40:00,2025-07-18 09:50:00,11,PR0010,2025-07-18 09:40:00,2025-07-18 09:50:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,12,PR0011,2025-07-18 09:50:00,2025-07-18 10:00:00,12,PR0011,2025-07-18 09:50:00,2025-07-18 10:00:00,24,0
ORD0004,CUS0006,ITE0004,1,2,SCE002,13,PR0012,2025-07-18 10:00:00,2025-07-18 10:10:00,13,PR0012,2025-07-18 10:00:00,2025-07-18 10:10:00,24,0
