Order-No.,Customer-No.,Item-No.,"Export to not EU [1 = n, 2 = y]","Dangerous Good [1 = n, 2 = y]",Planed-Master-Scenario-No.,Planed-Master-Order-Processing-Ongoing Position No.,Planed-Master-Order-Processing-Position-No. as an ID,Planed-Master-Order-Processing-Start-Time,Planed-Master-Order-Processing-End-Time,As-Is-Real-Order-Processing-Ongoing Position No.,As-Is-Master-Order-Processing-Position-No. as an ID,As-Is-Real-Order-Processing-Start-Time,As-Is-Real-Order-Processing-End-Time,Final Yield Quantity,Total Scrap Quantity,Problem_Type
ORD0001,CUS0010,ITE0003,1,1,SCE001,1,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,1.0,PR0001,2025-07-15 08:00:00,2025-07-15 08:10:00,24,0,None
ORD0001,CUS0010,ITE0003,1,1,SCE001,2,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,2.0,PR0002,2025-07-15 08:10:00,2025-07-15 08:20:00,24,0,None
ORD0001,CUS0010,ITE0003,1,1,SCE001,3,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,3.0,PR0003,2025-07-15 08:20:00,2025-07-15 08:30:00,20,4,Quantity Issue
ORD0001,CUS0010,ITE0003,1,1,SCE001,4,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,4.0,PR0004,2025-07-15 08:30:00,2025-07-15 08:40:00,16,8,"Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,5,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,5.0,PR0005,2025-07-15 08:40:00,2025-07-15 08:50:00,22,2,"Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,6,PR0006,2025-07-15 08:50:00,2025-07-15 09:00:00,6.0,PR0006,2025-07-15 08:50:00,2025-07-15 09:00:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,7,PR0007,2025-07-15 09:00:00,2025-07-15 09:10:00,7.0,PR0007,2025-07-15 09:00:00,2025-07-15 09:10:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,8,PR0008,2025-07-15 09:10:00,2025-07-15 09:20:00,8.0,PR0008,2025-07-15 09:10:00,2025-07-15 09:20:00,16,8,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,9,PR0009,2025-07-15 09:20:00,2025-07-15 09:30:00,9.0,PR0009,2025-07-15 09:20:00,2025-07-15 09:30:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,10,PR0010,2025-07-15 09:30:00,2025-07-15 09:40:00,10.0,PR0010,2025-07-15 09:30:00,2025-07-15 09:40:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,11,PR0011,2025-07-15 09:40:00,2025-07-15 09:50:00,11.0,PR0011,2025-07-15 09:40:00,2025-07-15 09:50:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0001,CUS0010,ITE0003,1,1,SCE001,12,PR0012,2025-07-15 09:50:00,2025-07-15 10:00:00,12.0,PR0012,2025-07-15 09:50:00,2025-07-15 10:00:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,1,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,1.0,PR0001,2025-07-16 08:00:00,2025-07-16 08:10:00,24,0,"Out of Order, Extra Steps"
ORD0002,CUS0009,ITE0038,2,1,SCE003,2,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,2.0,PR0002,2025-07-16 08:10:00,2025-07-16 08:20:00,24,0,"Out of Order, Extra Steps"
ORD0002,CUS0009,ITE0038,2,1,SCE003,3,PR0003,2025-07-16 08:20:00,2025-07-16 08:30:00,13.0,PR0003,2025-07-16 10:00:00,2025-07-16 10:10:00,24,0,"Out of Order, Extra Steps"
ORD0002,CUS0009,ITE0038,2,1,SCE003,4,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,4.0,PR0004,2025-07-16 08:30:00,2025-07-16 08:40:00,20,4,"Out of Order, Extra Steps, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,5,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,5.0,PR0005,2025-07-16 08:40:00,2025-07-16 08:50:00,24,0,"Out of Order, Extra Steps, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,6,PR0014,2025-07-16 08:50:00,2025-07-16 09:00:00,6.0,PR0014,2025-07-16 08:50:00,2025-07-16 09:00:00,24,0,"Out of Order, Extra Steps, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,7,PR0006,2025-07-16 09:00:00,2025-07-16 09:10:00,7.0,PR0006,2025-07-16 09:00:00,2025-07-16 09:10:00,24,0,"Out of Order, Extra Steps, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,8,PR0007,2025-07-16 09:10:00,2025-07-16 09:20:00,8.0,PR0007,2025-07-16 09:10:00,2025-07-16 09:20:00,15,9,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,9,PR0008,2025-07-16 09:20:00,2025-07-16 09:30:00,11.0,PR0008,2025-07-16 09:40:00,2025-07-16 09:50:00,20,4,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,10,PR0009,2025-07-16 09:30:00,2025-07-16 09:40:00,12.0,PR0009,2025-07-16 09:50:00,2025-07-16 10:00:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,11,PR0010,2025-07-16 09:40:00,2025-07-16 09:50:00,3.0,PR0010,2025-07-16 08:20:00,2025-07-16 08:30:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,12,PR0011,2025-07-16 09:50:00,2025-07-16 10:00:00,14.0,PR0011,2025-07-16 10:10:00,2025-07-16 10:20:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0002,CUS0009,ITE0038,2,1,SCE003,13,PR0012,2025-07-16 10:00:00,2025-07-16 10:10:00,15.0,PR0012,2025-07-16 10:20:00,2025-07-16 10:30:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,1,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,1.0,PR0001,2025-07-17 08:00:00,2025-07-17 08:10:00,19,5,Quantity Issue
ORD0003,CUS0019,ITE0044,1,1,SCE001,2,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,2.0,PR0002,2025-07-17 08:10:00,2025-07-17 08:20:00,18,6,"Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,3,PR0003,2025-07-17 08:20:00,2025-07-17 08:30:00,3.0,PR0003,2025-07-17 08:20:00,2025-07-17 08:30:00,20,4,"Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,4,PR0004,2025-07-17 08:30:00,2025-07-17 08:40:00,4.0,PR0004,2025-07-17 08:30:00,2025-07-17 08:40:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,5,PR0005,2025-07-17 08:40:00,2025-07-17 08:50:00,5.0,PR0005,2025-07-17 08:40:00,2025-07-17 08:50:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,6,PR0006,2025-07-17 08:50:00,2025-07-17 09:00:00,6.0,PR0006,2025-07-17 08:50:00,2025-07-17 09:00:00,17,7,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,7,PR0007,2025-07-17 09:00:00,2025-07-17 09:10:00,7.0,PR0007,2025-07-17 09:00:00,2025-07-17 09:10:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,8,PR0008,2025-07-17 09:10:00,2025-07-17 09:20:00,8.0,PR0008,2025-07-17 09:10:00,2025-07-17 09:20:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,9,PR0009,2025-07-17 09:20:00,2025-07-17 09:30:00,9.0,PR0009,2025-07-17 09:20:00,2025-07-17 09:30:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,10,PR0010,2025-07-17 09:30:00,2025-07-17 09:40:00,10.0,PR0010,2025-07-17 09:30:00,2025-07-17 09:40:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,11,PR0011,2025-07-17 09:40:00,2025-07-17 09:50:00,11.0,PR0011,2025-07-17 09:40:00,2025-07-17 09:50:00,24,0,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0003,CUS0019,ITE0044,1,1,SCE001,12,PR0012,2025-07-17 09:50:00,2025-07-17 10:00:00,12.0,PR0012,2025-07-17 09:50:00,2025-07-17 10:00:00,17,7,"Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,1,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,1.0,PR0001,2025-07-18 08:00:00,2025-07-18 08:10:00,24,0,"Out of Order, Extra Steps"
ORD0004,CUS0016,ITE0008,1,1,SCE001,2,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,2.0,PR0002,2025-07-18 08:10:00,2025-07-18 08:20:00,17,7,"Out of Order, Extra Steps, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,3,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,3.0,PR0003,2025-07-18 08:20:00,2025-07-18 08:30:00,24,0,"Out of Order, Extra Steps, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,4,PR0004,2025-07-18 08:30:00,2025-07-18 08:40:00,4.0,PR0004,2025-07-18 08:30:00,2025-07-18 08:40:00,24,0,"Out of Order, Extra Steps, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,5,PR0005,2025-07-18 08:40:00,2025-07-18 08:50:00,5.0,PR0005,2025-07-18 08:40:00,2025-07-18 08:50:00,16,8,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,6,PR0006,2025-07-18 08:50:00,2025-07-18 09:00:00,7.0,PR0006,2025-07-18 09:00:00,2025-07-18 09:10:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,7,PR0007,2025-07-18 09:00:00,2025-07-18 09:10:00,6.0,PR0007,2025-07-18 08:50:00,2025-07-18 09:00:00,21,3,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,8,PR0008,2025-07-18 09:10:00,2025-07-18 09:20:00,8.0,PR0008,2025-07-18 09:10:00,2025-07-18 09:20:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,9,PR0009,2025-07-18 09:20:00,2025-07-18 09:30:00,9.0,PR0009,2025-07-18 09:20:00,2025-07-18 09:30:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,10,PR0010,2025-07-18 09:30:00,2025-07-18 09:40:00,10.0,PR0010,2025-07-18 09:30:00,2025-07-18 09:40:00,20,4,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,11,PR0011,2025-07-18 09:40:00,2025-07-18 09:50:00,12.0,PR0011,2025-07-18 09:50:00,2025-07-18 10:00:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0004,CUS0016,ITE0008,1,1,SCE001,12,PR0012,2025-07-18 09:50:00,2025-07-18 10:00:00,13.0,PR0012,2025-07-18 10:00:00,2025-07-18 10:10:00,24,0,"Out of Order, Extra Steps, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,1,PR0001,2025-07-19 08:00:00,2025-07-19 08:10:00,2.0,PR0001,2025-07-19 08:10:00,2025-07-19 08:20:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps"
ORD0005,CUS0014,ITE0014,2,1,SCE003,2,PR0002,2025-07-19 08:10:00,2025-07-19 08:20:00,3.0,PR0002,2025-07-19 08:20:00,2025-07-19 08:30:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps"
ORD0005,CUS0014,ITE0014,2,1,SCE003,3,PR0003,2025-07-19 08:20:00,2025-07-19 08:30:00,4.0,PR0003,2025-07-19 08:30:00,2025-07-19 08:40:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps"
ORD0005,CUS0014,ITE0014,2,1,SCE003,4,PR0004,2025-07-19 08:30:00,2025-07-19 08:40:00,11.0,PR0004,2025-07-19 09:40:00,2025-07-19 09:50:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps"
ORD0005,CUS0014,ITE0014,2,1,SCE003,5,PR0005,2025-07-19 08:40:00,2025-07-19 08:50:00,7.0,PR0005,2025-07-19 09:00:00,2025-07-19 09:10:00,15,9,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,6,PR0014,2025-07-19 08:50:00,2025-07-19 09:00:00,8.0,PR0014,2025-07-19 09:10:00,2025-07-19 09:20:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,7,PR0006,2025-07-19 09:00:00,2025-07-19 09:10:00,9.0,PR0006,2025-07-19 09:20:00,2025-07-19 09:30:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,8,PR0007,2025-07-19 09:10:00,2025-07-19 09:20:00,10.0,PR0007,2025-07-19 09:30:00,2025-07-19 09:40:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,9,PR0008,2025-07-19 09:20:00,2025-07-19 09:30:00,6.0,PR0008,2025-07-19 08:50:00,2025-07-19 09:00:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,10,PR0009,2025-07-19 09:30:00,2025-07-19 09:40:00,,,,,16,8,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,11,PR0010,2025-07-19 09:40:00,2025-07-19 09:50:00,12.0,PR0010,2025-07-19 09:50:00,2025-07-19 10:00:00,19,5,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,12,PR0011,2025-07-19 09:50:00,2025-07-19 10:00:00,5.0,PR0011,2025-07-19 08:40:00,2025-07-19 08:50:00,24,0,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0005,CUS0014,ITE0014,2,1,SCE003,13,PR0012,2025-07-19 10:00:00,2025-07-19 10:10:00,14.0,PR0012,2025-07-19 10:10:00,2025-07-19 10:20:00,16,8,"Missing Steps, Out of Order, Extra Steps, Duplicate Steps, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,1,PR0001,2025-07-20 08:00:00,2025-07-20 08:10:00,1.0,PR0001,2025-07-20 08:00:00,2025-07-20 08:21:00,24,0,"Duplicate Steps, Delayed"
ORD0006,CUS0003,ITE0045,2,2,SCE004,2,PR0002,2025-07-20 08:10:00,2025-07-20 08:20:00,2.0,PR0002,2025-07-20 08:21:00,2025-07-20 08:42:00,24,0,"Duplicate Steps, Delayed"
ORD0006,CUS0003,ITE0045,2,2,SCE004,3,PR0003,2025-07-20 08:20:00,2025-07-20 08:30:00,4.0,PR0003,2025-07-20 09:03:00,2025-07-20 09:24:00,16,8,"Duplicate Steps, Delayed, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,4,PR0004,2025-07-20 08:30:00,2025-07-20 08:40:00,5.0,PR0004,2025-07-20 09:24:00,2025-07-20 09:45:00,20,4,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,5,PR0005,2025-07-20 08:40:00,2025-07-20 08:50:00,6.0,PR0005,2025-07-20 09:45:00,2025-07-20 10:06:00,17,7,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,6,PR0014,2025-07-20 08:50:00,2025-07-20 09:00:00,7.0,PR0014,2025-07-20 10:06:00,2025-07-20 10:27:00,16,8,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,7,PR0006,2025-07-20 09:00:00,2025-07-20 09:10:00,8.0,PR0006,2025-07-20 10:27:00,2025-07-20 10:48:00,24,0,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,8,PR0007,2025-07-20 09:10:00,2025-07-20 09:20:00,9.0,PR0007,2025-07-20 10:48:00,2025-07-20 11:09:00,24,0,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,9,PR0008,2025-07-20 09:20:00,2025-07-20 09:30:00,10.0,PR0008,2025-07-20 11:09:00,2025-07-20 11:30:00,24,0,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,10,PR0013,2025-07-20 09:30:00,2025-07-20 09:40:00,11.0,PR0013,2025-07-20 11:30:00,2025-07-20 11:51:00,24,0,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
ORD0006,CUS0003,ITE0045,2,2,SCE004,11,PR0009,2025-07-20 09:40:00,2025-07-20 09:50:00,12.0,PR0009,2025-07-20 11:51:00,2025-07-20 12:12:00,20,4,"Duplicate Steps, Delayed, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue, Quantity Issue"
